frequency_hz,fem_resistance_pa_s_m3,fem_reactance_pa_s_m3,fem_magnitude_pa_s_m3,webster_resistance_pa_s_m3,webster_reactance_pa_s_m3,webster_magnitude_pa_s_m3,fem_radiated_power_w,webster_radiated_power_w,gmres_iterations,solve_seconds,relative_residual
1825.8706362741882,995218.788971372,163060.82345292575,1008488.6068106027,950335.4210420696,-78980.55298506498,953611.73453195,497609.39448568114,475167.71052103786,71,23.069982375,1.6718574444155955e-10
1879.1870214422213,983113.5735070462,133665.37325259566,992158.6216026901,801379.6550588169,-72390.79773252917,804642.6406415089,491556.7867534333,400689.82752940955,70,22.857386125,2.3654157714258533e-10
1934.0602731652602,963241.5299581347,109384.89711027083,969432.4632236703,692306.9493944121,2187.1979069966474,692310.404381215,481620.7649800812,346153.4746972091,69,22.514239459,1.031780088126419e-09
1990.5358527674864,939907.7012394525,94116.59214313838,944608.0773346529,640716.6153710601,112182.9296175536,650463.5200456086,469953.8506196525,320358.3076855361,77,26.059286292,1.4987478857053857e-10
2048.6605490677066,918895.5980163881,87720.63545758575,923073.1444143407,652548.9154996289,232841.06220858832,692845.6158266179,459447.7990081605,326274.4577498198,81,27.700121875,8.817079064748489e-11
2108.482517142911,904056.342105391,86298.61401023663,908165.9102174379,736003.0637536193,337915.914037098,809868.92446509,452028.1710527346,368001.53187681007,84,27.271687166,3.0464971344446287e-10
2170.0513182237196,895421.7495934187,84960.20497034921,899443.3534545368,893222.5860753342,377531.9072254183,969730.3384180417,447710.87479657604,446611.2930376695,84,27.992319625,1.8622367583075425e-10
2233.417960754815,890186.9691542067,80748.21510909703,893841.7725163988,1065102.500899124,277399.08814674907,1100633.2684078817,445093.4845770755,532551.2504495734,89,30.255521834,1.75535682675966e-10
2298.634942654361,885166.6503475008,73381.50549276776,888203.154822026,1099675.1702480058,60700.2871822202,1101349.174841469,442583.325173736,549837.5851240086,90,30.923272875,1.1455114842207684e-10
2365.756294807401,878228.0601653323,64175.02999543017,880569.6793194033,965173.4896442355,-89013.2247584773,969269.4255437619,439114.0300827732,482586.7448221039,90,30.421218833,1.6518859815416954e-10
